diffNuisances run on fitDiagnosticsTest.root, at 2021-12-13 08:36:43.973077 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': 'plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

MuTau_stat18_Fake_SRB1                           -0.15, 0.99        +0.00, 0.99       +0.01      +0.000
MuTau_stat17_sig_SRB8                            -0.00, 1.00        +0.00, 0.95       +0.01      +0.000
MuTau_stat17_sig_SRB6                            -0.00, 1.00        +0.00, 0.99       +0.01      +0.001
MuTau_stat17_TT_SRB8                             +0.08, 0.91        +0.00, 0.93       +0.01      +0.001
MuTau_stat17_TT_SRB12                            -0.28, 0.91        -0.00, 0.91       +0.01      +0.001
MuTau_stat17_TT_SRB10                            -0.18, 0.92        -0.00, 0.94       +0.01      +0.001
MuTau_stat17_TT_SRB1                             +0.55, 0.94     * -0.00, 0.95*       -0.01      -0.001
MuTau_stat17_ST_SRB5                             +0.08, 1.00        +0.00, 1.00       -0.01      -0.001
MuTau_stat17_ST_SRB4                             +0.19, 1.00        +0.00, 1.00       -0.01      -0.001
MuTau_stat17_ST_SRB14                            +0.01, 1.00        -0.00, 1.00       +0.01      +0.001
